name,category,tokenURI
"Blossom #1","Animals & Nature","https://bafybeibxw2bmsde3cjyoca7rw2ipoe43natgn3sdsrcj2cu6jafmtxpgym.ipfs.w3s.link/emoji_blossom_1.json"
"Blowfish #1","Animals & Nature","https://bafybeibxw2bmsde3cjyoca7rw2ipoe43natgn3sdsrcj2cu6jafmtxpgym.ipfs.w3s.link/emoji_blowfish_1.json"
"Blueberries #1","Food & Drink","https://bafybeibxw2bmsde3cjyoca7rw2ipoe43natgn3sdsrcj2cu6jafmtxpgym.ipfs.w3s.link/emoji_blueberries_1.json"
"Blue Book #1","Objects","https://bafybeibxw2bmsde3cjyoca7rw2ipoe43natgn3sdsrcj2cu6jafmtxpgym.ipfs.w3s.link/emoji_blue_book_1.json"
"Blue Circle #1","Symbols","https://bafybeibxw2bmsde3cjyoca7rw2ipoe43natgn3sdsrcj2cu6jafmtxpgym.ipfs.w3s.link/emoji_blue_circle_1.json"
"Blue Heart #1","Smileys & Emotion","https://bafybeibxw2bmsde3cjyoca7rw2ipoe43natgn3sdsrcj2cu6jafmtxpgym.ipfs.w3s.link/emoji_blue_heart_1.json"
"Blue Square #1","Symbols","https://bafybeibxw2bmsde3cjyoca7rw2ipoe43natgn3sdsrcj2cu6jafmtxpgym.ipfs.w3s.link/emoji_blue_square_1.json"
"Boar #1","Animals & Nature","https://bafybeibxw2bmsde3cjyoca7rw2ipoe43natgn3sdsrcj2cu6jafmtxpgym.ipfs.w3s.link/emoji_boar_1.json"
"Bomb #1","Smileys & Emotion","https://bafybeibxw2bmsde3cjyoca7rw2ipoe43natgn3sdsrcj2cu6jafmtxpgym.ipfs.w3s.link/emoji_bomb_1.json"
"Bone #1","People & Body","https://bafybeibxw2bmsde3cjyoca7rw2ipoe43natgn3sdsrcj2cu6jafmtxpgym.ipfs.w3s.link/emoji_bone_1.json"
"Bookmark #1","Objects","https://bafybeibxw2bmsde3cjyoca7rw2ipoe43natgn3sdsrcj2cu6jafmtxpgym.ipfs.w3s.link/emoji_bookmark_1.json"
"Bookmark Tabs #1","Objects","https://bafybeibxw2bmsde3cjyoca7rw2ipoe43natgn3sdsrcj2cu6jafmtxpgym.ipfs.w3s.link/emoji_bookmark_tabs_1.json"
"Books #1","Objects","https://bafybeibxw2bmsde3cjyoca7rw2ipoe43natgn3sdsrcj2cu6jafmtxpgym.ipfs.w3s.link/emoji_books_1.json"
"Boomerang #1","Objects","https://bafybeibxw2bmsde3cjyoca7rw2ipoe43natgn3sdsrcj2cu6jafmtxpgym.ipfs.w3s.link/emoji_boomerang_1.json"
"Bottle With Popping Cork #1","Food & Drink","https://bafybeibxw2bmsde3cjyoca7rw2ipoe43natgn3sdsrcj2cu6jafmtxpgym.ipfs.w3s.link/emoji_bottle_with_popping_cork_1.json"
"Bouquet #1","Animals & Nature","https://bafybeibxw2bmsde3cjyoca7rw2ipoe43natgn3sdsrcj2cu6jafmtxpgym.ipfs.w3s.link/emoji_bouquet_1.json"
"Bowling #1","Activities","https://bafybeibxw2bmsde3cjyoca7rw2ipoe43natgn3sdsrcj2cu6jafmtxpgym.ipfs.w3s.link/emoji_bowling_1.json"
"Bowl With Spoon #1","Food & Drink","https://bafybeibxw2bmsde3cjyoca7rw2ipoe43natgn3sdsrcj2cu6jafmtxpgym.ipfs.w3s.link/emoji_bowl_with_spoon_1.json"
"Bow And Arrow #1","Objects","https://bafybeibxw2bmsde3cjyoca7rw2ipoe43natgn3sdsrcj2cu6jafmtxpgym.ipfs.w3s.link/emoji_bow_and_arrow_1.json"
